2013-10-15 18:49:18 [INFO] [ForgeModLoader] Forge Mod Loader version 6.4.3.883 for Minecraft 1.6.4 loading
2013-10-15 18:49:18 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.7.0_21, running on Windows 8:amd64:6.2, installed at C:\Program Files\Java\jre7
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Java classpath at launch is minecraft_server.1.6.4.jar
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Java library path at launch is C:\Windows\system32;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;.
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Loaded coremod FMLCorePlugin
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Loaded coremod FMLForgePlugin
2013-10-15 18:49:18 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Discovering coremods
2013-10-15 18:49:18 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2013-10-15 18:49:18 [INFO] [STDOUT] Loaded 40 rules from AccessTransformer config file fml_at.cfg
2013-10-15 18:49:18 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2013-10-15 18:49:18 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2013-10-15 18:49:18 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.ForgeAccessTransformer
2013-10-15 18:49:18 [INFO] [STDOUT] Loaded 109 rules from AccessTransformer config file forge_at.cfg
2013-10-15 18:49:18 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.EventTransformer
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Running coremod plugins
2013-10-15 18:49:18 [FINE] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.achievement.GuiAchievements.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.inventory.GuiContainer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.gui.inventory.GuiContainerCreative.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelBase.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelBox.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.ModelRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.PositionTextureVertex.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.model.TexturedQuad.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.ChunkProviderClient.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.GuiConnecting.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.NetClientHandler.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.PlayerControllerMP.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.multiplayer.WorldClient.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EffectRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EntityDiggingFX.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.particle.EntityFireworkStarterFX.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.EntityRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.ItemRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.OpenGlHelper.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.RenderBlocks.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.RenderGlobal.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.Tessellator.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.WorldRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderBiped.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderItem.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderManager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderPlayer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderSnowMan.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RenderVillager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.entity.RendererLivingEntity.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.Stitcher.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.TextureAtlasSprite.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.texture.TextureMap.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.renderer.tileentity.TileEntityChestRenderer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.resources.LanguageManager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.client.settings.GameSettings.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.command.CommandHandler.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CallableSuspiciousClasses.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CrashReport.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.crash.CrashReportCategory.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.creativetab.CreativeTabs.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.enchantment.Enchantment.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.enchantment.EnchantmentHelper.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.Entity.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityList.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityLiving.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityLivingBase.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityTracker.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.EntityTrackerEntry.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.ai.EntityAIAttackOnCollide.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.EntityDragon.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.EntityWither.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.boss.IBossDisplayData.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityEnderPearl.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityItem.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecart.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartContainer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartEmpty.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartFurnace.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.item.EntityMinecartHopper.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.monster.EntityEnderman.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.monster.EntitySlime.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityMooshroom.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityOcelot.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntitySheep.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.passive.EntityVillager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.EntityPlayer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.EntityPlayerMP.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.entity.player.InventoryPlayer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerEnchantment.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerFurnace.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.ContainerRepair.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.Slot.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotArmor.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotBrewingStandIngredient.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotBrewingStandPotion.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotCrafting.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.inventory.SlotFurnace.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.BehaviorDispenseArmor.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumArmorMaterial.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumRarity.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.EnumToolMaterial.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.Item.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemArmor.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBlock.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBow.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBucket.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemBucketMilk.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemDye.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemEmptyMap.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemFlintAndSteel.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemHoe.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemInWorldManager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemMap.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemSeedFood.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemSeeds.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemShears.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemStack.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.ItemTool.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.CraftingManager.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.FurnaceRecipes.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.item.crafting.RecipeFireworks.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.logging.LogAgent.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.nbt.CompressedStreamTools.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.nbt.NBTTagList.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.MemoryConnection.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.NetLoginHandler.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.NetServerHandler.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.NetworkListenThread.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.TcpConnection.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.NetHandler.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.Packet.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.Packet1Login.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.Packet51MapChunk.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.Packet52MultiBlockChange.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.network.packet.Packet56MapChunks.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.potion.PotionEffect.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.server.MinecraftServer.binpatch
2013-10-15 18:49:19 [FINEST] [ForgeModLoader] Reading patch data from binpatch/server/net.minecraft.server.ServerListenThread.binpatch
